Institution,Faculty,Gender,Age,Level,Exposed_to_Content,Frequency,Content_Type,Awareness_Increased,Learned_Deforestation,Influenced_Views,Pay_Attention,Follow_Pages,Platforms_Used_Raw,Main_Platform,Interaction_Type,Pref_Instagram,Pref_Twitter,Pref_WhatsApp,Pref_YouTube,Changed_Behavior,Actions_Taken_Raw,Social_Media_Motivates,Conscious_Increase,Speak_More,Feel_Responsible,Effective_Factor,Suggestions
University of Ibadan (UI),Arts,Female,21–25,200 Level,Yes,Weekly,Articles/Posts,4,4,4,3,Yes,YouTube,Facebook,I only view/read,2,5,4,4,No,None,3,5,1,5,Strong visuals,None
University of Ibadan (UI),Renewable Natural Resources,Female,21–25,200 Level,Yes,Daily,Videos/Documentaries,5,5,3,2,Yes,"WhatsApp, Instagram",Facebook,Share/Repost,3,4,5,4,No,None,4,4,2,5,Strong visuals,None
Lead City University (LCU),Management,Male,21–25,300 Level,Yes,Daily,Images/Posters,4,4,5,4,Yes,Instagram,Facebook,Like & Comment,2,3,4,4,No,None,4,5,3,4,Emotional storytelling,None
Lead City University (LCU),Applied Sciences,Female,16–20,200 Level,Yes,Weekly,Campaign Flyers,4,4,3,3,Yes,TikTok,Instagram,Like only,3,5,4,2,Yes,Tree-planting,4,5,3,4,Strong visuals,None
Lead City University (LCU),Applied Sciences,Male,21–25,100 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,Facebook,Like only,2,3,3,4,No,None,4,4,3,3,Strong visuals,Collaborate with schools
"The Polytechnic, Ibadan",Science,Prefer not to say,Above 30,300 Level,Yes,Daily,Images/Posters,5,4,5,4,Yes,"Twitter (X), TikTok, Instagram",WhatsApp,Like only,4,3,4,2,No,None,4,4,3,3,Influencer promotion,Good job
"The Polytechnic, Ibadan",Science,Female,26–30,300 Level,No,Not Applicable,None,3,3,3,3,No,Facebook,Instagram,I only view/read,3,4,4,3,Yes,"Stopped Harmful Products, Joined Group",3,3,1,1,Simplicity and clarity,None
"The Polytechnic, Ibadan",Science,Male,Above 30,100 Level,Yes,Daily,Campaign Flyers,5,5,3,5,Yes,"Twitter (X), TikTok",Twitter (X),Like only,4,4,5,4,No,None,3,3,4,3,Strong visuals,None
University of Ibadan (UI),Science,Female,21–25,200 Level,No,Not Applicable,None,3,3,3,3,No,YouTube,Instagram,Share/Repost,3,2,3,4,Yes,"Shared Content, Tree-planting",1,1,1,3,Strong visuals,None
Lead City University (LCU),Applied Sciences,Female,16–20,500 Level / Postgraduate,Yes,Daily,Videos/Documentaries,4,5,3,4,Yes,WhatsApp,Facebook,Like only,3,4,5,3,Yes,"Shared Content, Joined Group",5,5,5,5,Simplicity and clarity,Collaborate with schools
University of Ibadan (UI),Renewable Natural Resources,Male,26–30,200 Level,Not sure,Not Applicable,None,3,3,3,3,No,"WhatsApp, Facebook, Twitter (X)",Facebook,Like only,3,4,5,3,No,None,4,5,3,4,Strong visuals,Collaborate with schools
Lead City University (LCU),Applied Sciences,Male,16–20,300 Level,Yes,Weekly,Images/Posters,4,1,1,3,Yes,WhatsApp,I do not engage,Share/Repost,4,3,4,5,No,None,4,5,3,3,Simplicity and clarity,Collaborate with schools
Lead City University (LCU),Applied Sciences,Female,26–30,100 Level,Yes,Weekly,Images/Posters,4,5,4,3,Not sure,"WhatsApp, Instagram",Instagram,Like only,4,2,5,3,Yes,Shared Content,2,5,4,4,Real-life statistics,None
Lead City University (LCU),Applied Sciences,Female,Above 30,100 Level,Yes,Daily,Videos/Documentaries,4,5,4,5,No,Instagram,Twitter (X),Participate in Challenges/Campaigns,4,5,3,3,No,None,3,5,2,2,Simplicity and clarity,Make it relatable
"Federal College of Agriculture, Ibadan",Horticulture,Male,16–20,200 Level,No,Not Applicable,None,3,3,3,3,No,YouTube,Instagram,Like & Comment,5,4,4,3,Yes,Tree-planting,3,4,2,5,Simplicity and clarity,More videos
Lead City University (LCU),Management,Male,16–20,300 Level,Yes,Daily,Videos/Documentaries,4,5,4,5,No,"Facebook, TikTok",Instagram,I only view/read,4,5,5,3,Yes,Shared Content,4,3,2,4,Emotional storytelling,Good job
"Federal College of Agriculture, Ibadan",Agriculture,Female,16–20,300 Level,Yes,Daily,Videos/Documentaries,5,5,3,5,Yes,"Facebook, Twitter (X)",Twitter (X),Participate in Challenges/Campaigns,3,2,5,3,Yes,Shared Content,5,3,5,3,Strong visuals,None
University of Ibadan (UI),Social Sciences,Male,21–25,100 Level,Yes,Weekly,Videos/Documentaries,4,5,3,3,No,WhatsApp,WhatsApp,Share/Repost,2,5,5,3,No,None,2,3,2,3,Strong visuals,None
Lead City University (LCU),Law,Male,21–25,300 Level,Yes,Rarely,Videos/Documentaries,4,2,2,3,Yes,WhatsApp,YouTube,I only view/read,5,3,3,5,Yes,"Tree-planting, Shared Content",3,3,3,3,Influencer promotion,More videos
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,100 Level,Yes,Rarely,Articles/Posts,3,4,2,3,No,WhatsApp,Facebook,I only view/read,3,3,5,5,No,None,4,1,2,4,Simplicity and clarity,Make it relatable
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,400 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,Twitter (X),Participate in Challenges/Campaigns,4,4,2,3,No,None,5,4,4,1,Emotional storytelling,None
"The Polytechnic, Ibadan",Science,Male,21–25,200 Level,Yes,Daily,Campaign Flyers,5,5,5,4,Yes,WhatsApp,WhatsApp,I only view/read,4,5,5,3,No,None,5,4,3,4,Strong visuals,More videos
Lead City University (LCU),Law,Male,16–20,100 Level,Yes,Weekly,Images/Posters,5,4,4,4,No,TikTok,WhatsApp,I only view/read,3,4,5,3,Yes,Shared Content,3,3,3,4,Strong visuals,None
University of Ibadan (UI),Renewable Natural Resources,Female,16–20,200 Level,Yes,Daily,Infographics,5,3,3,4,Yes,WhatsApp,Facebook,Like only,5,4,4,5,No,None,2,4,3,5,Strong visuals,Make it relatable
Lead City University (LCU),Law,Female,21–25,200 Level,Yes,Weekly,Videos/Documentaries,4,5,2,3,No,"WhatsApp, Instagram, Facebook",Facebook,I only view/read,3,4,5,4,Yes,Shared Content,2,5,2,3,Strong visuals,Collaborate with schools
Lead City University (LCU),Applied Sciences,Female,16–20,100 Level,Yes,Rarely,Images/Posters,2,1,5,1,Yes,"WhatsApp, Instagram",Instagram,Like only,3,1,4,4,No,None,3,3,2,3,Real-life statistics,None
University of Ibadan (UI),Science,Male,21–25,200 Level,Yes,Rarely,Videos/Documentaries,4,5,3,2,No,Instagram,Instagram,Like only,3,3,5,3,No,None,4,4,3,4,Influencer promotion,Collaborate with schools
University of Ibadan (UI),Social Sciences,Female,21–25,300 Level,Yes,Daily,Campaign Flyers,4,5,5,3,Yes,"Instagram, WhatsApp",Twitter (X),Like only,5,2,4,5,No,None,4,5,5,5,Strong visuals,None
"The Polytechnic, Ibadan",Engineering,Female,16–20,200 Level,No,Not Applicable,None,3,3,3,3,No,"WhatsApp, Facebook",Twitter (X),Like & Comment,4,2,5,3,No,None,5,1,4,5,Simplicity and clarity,More videos
Lead City University (LCU),Applied Sciences,Female,26–30,300 Level,Not sure,Not Applicable,None,3,3,3,3,No,"YouTube, WhatsApp",WhatsApp,Like only,5,3,4,5,No,None,1,3,2,1,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,500 Level / Postgraduate,No,Not Applicable,None,3,3,3,3,No,"TikTok, YouTube",WhatsApp,I only view/read,5,3,5,3,Yes,Joined Group,3,4,1,3,Emotional storytelling,More videos
"The Polytechnic, Ibadan",Engineering,Male,21–25,100 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,TikTok,Participate in Challenges/Campaigns,5,3,5,4,Yes,Joined Group,5,5,2,3,Strong visuals,Make it relatable
Lead City University (LCU),Applied Sciences,Male,26–30,300 Level,Yes,Weekly,Campaign Flyers,4,4,4,3,Yes,"WhatsApp, Instagram, YouTube",I do not engage,Like only,3,4,5,4,Yes,Tree-planting,4,2,3,3,Strong visuals,Make it relatable
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,100 Level,Yes,Daily,Articles/Posts,4,4,5,2,Yes,"YouTube, Instagram, WhatsApp",WhatsApp,I only view/read,5,3,4,5,Yes,"Shared Content, Tree-planting",4,5,5,5,Strong visuals,Make it relatable
Lead City University (LCU),Management,Female,16–20,200 Level,Yes,Weekly,Articles/Posts,4,4,4,5,Yes,WhatsApp,Facebook,I only view/read,4,2,4,4,No,None,4,4,5,5,Strong visuals,Make it relatable
Lead City University (LCU),Management,Female,21–25,300 Level,Yes,Daily,Infographics,5,5,4,4,No,WhatsApp,Twitter (X),I only view/read,2,3,5,3,Not sure,None,4,4,3,5,Strong visuals,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,500 Level / Postgraduate,Yes,Weekly,Videos/Documentaries,5,4,5,4,Yes,"WhatsApp, Twitter (X)",Twitter (X),Share/Repost,5,3,5,4,Yes,Joined Group,2,3,4,5,Emotional storytelling,More videos
University of Ibadan (UI),Arts,Female,21–25,100 Level,Not sure,Not Applicable,None,3,3,3,3,No,Twitter (X),Twitter (X),Like & Comment,4,5,5,5,No,None,3,3,5,5,Influencer promotion,Collaborate with schools
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,500 Level / Postgraduate,Yes,Weekly,Images/Posters,4,5,4,3,Yes,WhatsApp,Twitter (X),I only view/read,4,3,5,2,Yes,"Donation, Stopped Harmful Products",2,4,1,4,Simplicity and clarity,None
University of Ibadan (UI),Renewable Natural Resources,Male,16–20,300 Level,Yes,Daily,Articles/Posts,5,4,5,5,Yes,"WhatsApp, Instagram, Facebook, Twitter (X)",Facebook,Like only,3,5,5,3,Yes,Stopped Harmful Products,3,5,2,4,Emotional storytelling,None
"The Polytechnic, Ibadan",Engineering,Female,26–30,100 Level,Yes,Weekly,Campaign Flyers,4,4,5,3,No,WhatsApp,YouTube,Like & Comment,3,4,3,5,No,None,4,3,3,4,Simplicity and clarity,More videos
"The Polytechnic, Ibadan",Science,Male,26–30,200 Level,No,Not Applicable,None,3,3,3,3,No,WhatsApp,Twitter (X),Like only,5,5,2,5,No,None,4,5,3,3,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,200 Level,Yes,Weekly,Videos/Documentaries,5,5,5,4,No,"YouTube, WhatsApp",Facebook,I only view/read,5,3,4,3,Yes,"Joined Group, Donation",2,4,2,2,Simplicity and clarity,Good job
University of Ibadan (UI),Arts,Female,26–30,400 Level,Yes,Weekly,Images/Posters,3,5,4,4,Yes,"WhatsApp, Facebook",Facebook,I only view/read,4,5,5,4,No,None,3,3,3,4,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,300 Level,Yes,Daily,Articles/Posts,4,5,5,5,No,WhatsApp,Twitter (X),Like only,3,5,5,3,No,None,4,4,2,5,Strong visuals,None
"The Polytechnic, Ibadan",Science,Male,16–20,300 Level,Yes,Weekly,Videos/Documentaries,2,4,2,3,Yes,WhatsApp,I do not engage,Like only,5,1,5,4,Yes,Shared Content,1,3,2,4,Real-life statistics,None
"The Polytechnic, Ibadan",Science,Female,16–20,100 Level,Yes,Daily,Videos/Documentaries,3,4,5,4,Yes,"Twitter (X), WhatsApp, Instagram",Twitter (X),Like only,4,1,5,1,No,None,4,5,3,4,Strong visuals,Good job
Lead City University (LCU),Law,Female,21–25,400 Level,Yes,Weekly,Videos/Documentaries,3,4,3,3,Yes,YouTube,Twitter (X),Participate in Challenges/Campaigns,2,3,1,4,Yes,Joined Group,5,5,3,5,Strong visuals,Make it relatable
University of Ibadan (UI),Social Sciences,Male,21–25,300 Level,Yes,Weekly,Images/Posters,3,3,4,4,No,"Facebook, Instagram",Instagram,Like only,2,3,5,3,Yes,Shared Content,4,5,2,4,Real-life statistics,None
University of Ibadan (UI),Renewable Natural Resources,Female,21–25,200 Level,No,Not Applicable,None,3,3,3,3,No,Facebook,Facebook,Like only,4,5,3,2,No,None,3,4,4,2,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,26–30,200 Level,No,Not Applicable,None,3,3,3,3,No,YouTube,Instagram,I only view/read,5,4,2,4,No,None,2,2,4,3,Strong visuals,None
University of Ibadan (UI),Renewable Natural Resources,Female,16–20,100 Level,Yes,Weekly,Campaign Flyers,5,5,3,5,Not sure,"Facebook, Instagram",WhatsApp,Like & Comment,3,2,3,2,No,None,4,4,3,3,Strong visuals,More videos
"Federal College of Agriculture, Ibadan",Horticulture,Male,16–20,500 Level / Postgraduate,Yes,Daily,Videos/Documentaries,5,4,4,2,No,Instagram,Facebook,Participate in Challenges/Campaigns,3,3,3,2,No,None,5,5,4,3,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,400 Level,Yes,Daily,Videos/Documentaries,5,5,4,3,No,WhatsApp,WhatsApp,I only view/read,3,4,4,4,Yes,Joined Group,3,2,4,4,Emotional storytelling,None
Lead City University (LCU),Management,Female,21–25,400 Level,Yes,Daily,Articles/Posts,4,4,4,4,Yes,"Instagram, WhatsApp",Instagram,Like & Comment,4,2,5,3,No,None,3,4,3,5,Strong visuals,None
University of Ibadan (UI),Science,Male,21–25,100 Level,Yes,Weekly,Campaign Flyers,5,2,2,4,Yes,WhatsApp,Facebook,Share/Repost,4,1,5,3,Yes,Shared Content,3,4,3,5,Emotional storytelling,None
"The Polytechnic, Ibadan",Science,Female,16–20,100 Level,Yes,Weekly,Infographics,4,4,5,3,Not sure,Facebook,WhatsApp,I only view/read,4,3,4,3,No,None,2,3,3,4,Strong visuals,More videos
Lead City University (LCU),Management,Female,21–25,100 Level,Yes,Daily,Videos/Documentaries,4,5,3,4,Yes,WhatsApp,TikTok,Like only,3,3,5,4,Yes,"Shared Content, Tree-planting",3,1,4,5,Emotional storytelling,None
"Federal College of Agriculture, Ibadan",Horticulture,Male,21–25,200 Level,Yes,Rarely,Campaign Flyers,5,4,3,2,Yes,TikTok,Twitter (X),Like & Comment,5,5,4,3,No,None,4,3,2,1,Strong visuals,None
Lead City University (LCU),Management,Male,21–25,400 Level,Yes,Rarely,Infographics,2,3,4,3,Yes,"TikTok, WhatsApp, YouTube",Facebook,I only view/read,3,4,5,2,Yes,"Shared Content, Stopped Harmful Products",3,3,4,4,Strong visuals,Good job
"Federal College of Agriculture, Ibadan",Horticulture,Male,16–20,400 Level,Not sure,Not Applicable,None,3,3,3,3,No,"Instagram, WhatsApp, TikTok",TikTok,Like only,3,3,4,4,No,None,3,4,4,4,Emotional storytelling,More videos
"The Polytechnic, Ibadan",Science,Female,21–25,100 Level,Yes,Rarely,Campaign Flyers,4,4,3,4,No,WhatsApp,Facebook,I only view/read,2,4,3,4,No,None,3,4,2,3,Strong visuals,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,200 Level,Yes,Daily,Infographics,5,5,3,5,Not sure,"Facebook, Instagram",Twitter (X),Like & Comment,4,2,4,2,No,None,4,5,5,4,Strong visuals,More videos
Lead City University (LCU),Applied Sciences,Male,21–25,100 Level,Yes,Daily,Videos/Documentaries,5,5,5,4,Yes,Facebook,WhatsApp,Like & Comment,5,3,5,5,No,None,5,3,4,3,Strong visuals,None
"The Polytechnic, Ibadan",Business,Female,26–30,100 Level,Yes,Weekly,Articles/Posts,4,4,4,1,Yes,"Facebook, WhatsApp",Twitter (X),Like only,2,3,4,3,No,None,1,3,2,3,Simplicity and clarity,Collaborate with schools
University of Ibadan (UI),Social Sciences,Female,21–25,500 Level / Postgraduate,Yes,Weekly,Articles/Posts,4,5,3,4,No,WhatsApp,Instagram,Like only,3,3,3,3,Yes,Stopped Harmful Products,4,5,5,5,Strong visuals,Collaborate with schools
"Federal College of Agriculture, Ibadan",Horticulture,Male,Above 30,400 Level,No,Not Applicable,None,3,3,3,3,No,Facebook,Facebook,Like only,4,3,3,5,No,None,2,3,1,3,Strong visuals,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,21–25,300 Level,Yes,Weekly,Videos/Documentaries,4,3,2,2,Yes,"Instagram, WhatsApp",Facebook,Like only,3,4,3,2,Yes,"Shared Content, Tree-planting",4,3,3,4,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,16–20,400 Level,Yes,Daily,Videos/Documentaries,4,2,3,4,Yes,"WhatsApp, YouTube",WhatsApp,Participate in Challenges/Campaigns,4,5,2,3,No,None,3,5,3,3,Emotional storytelling,Make it relatable
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,200 Level,Not sure,Not Applicable,None,3,3,3,3,No,"Instagram, Facebook, WhatsApp",Instagram,I only view/read,4,5,3,4,No,None,5,4,4,3,Simplicity and clarity,Make it relatable
"The Polytechnic, Ibadan",Science,Male,21–25,300 Level,Yes,Weekly,Articles/Posts,5,4,5,4,Yes,Instagram,Twitter (X),Share/Repost,4,3,4,2,Yes,Joined Group,5,5,3,5,Real-life statistics,Good job
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,300 Level,No,Not Applicable,None,3,3,3,3,No,"WhatsApp, Instagram",WhatsApp,Like & Comment,4,4,3,4,No,None,3,3,3,3,Strong visuals,None
"Federal College of Agriculture, Ibadan",Horticulture,Female,16–20,300 Level,No,Not Applicable,None,3,3,3,3,No,Twitter (X),Instagram,I only view/read,3,3,4,3,No,None,1,3,4,2,Strong visuals,Collaborate with schools
"The Polytechnic, Ibadan",Science,Male,21–25,400 Level,Yes,Daily,Videos/Documentaries,5,4,4,2,Yes,Instagram,Facebook,Like & Comment,3,3,5,2,Yes,"Tree-planting, Joined Group",3,5,3,3,Strong visuals,Good job
Lead City University (LCU),Law,Female,21–25,200 Level,Yes,Weekly,Articles/Posts,4,3,4,3,No,"Instagram, WhatsApp, TikTok",Twitter (X),I only view/read,4,3,1,4,No,None,3,3,3,3,Influencer promotion,None
Lead City University (LCU),Applied Sciences,Female,21–25,300 Level,Yes,Weekly,Images/Posters,5,5,5,2,Yes,"WhatsApp, Twitter (X)",Facebook,Like only,2,3,3,2,Yes,Shared Content,1,4,5,4,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,16–20,400 Level,Yes,Weekly,Images/Posters,2,2,3,2,Yes,Instagram,Facebook,Like & Comment,5,5,5,5,No,None,4,5,3,4,Strong visuals,None
University of Ibadan (UI),Social Sciences,Female,Above 30,500 Level / Postgraduate,Yes,Weekly,Infographics,4,4,3,3,Yes,WhatsApp,Twitter (X),Like & Comment,3,3,5,5,No,None,2,5,4,3,Strong visuals,None
University of Ibadan (UI),Social Sciences,Female,16–20,200 Level,Yes,Weekly,Campaign Flyers,4,3,4,4,Not sure,"Facebook, WhatsApp",Instagram,Like only,4,4,5,4,Yes,"Shared Content, Joined Group",2,4,3,5,Emotional storytelling,More videos
University of Ibadan (UI),Science,Prefer not to say,16–20,400 Level,Yes,Daily,Infographics,4,5,4,3,No,Instagram,WhatsApp,I only view/read,5,4,4,3,Yes,Stopped Harmful Products,5,3,3,3,Simplicity and clarity,Make it relatable
University of Ibadan (UI),Renewable Natural Resources,Female,Above 30,500 Level / Postgraduate,Yes,Weekly,Videos/Documentaries,5,3,3,2,Yes,"YouTube, WhatsApp",Twitter (X),Like only,3,4,3,4,No,None,4,5,1,2,Simplicity and clarity,None
"Federal College of Agriculture, Ibadan",Agriculture,Female,21–25,100 Level,Yes,Weekly,Images/Posters,5,4,1,4,No,"WhatsApp, Instagram",WhatsApp,Like & Comment,2,4,4,3,Yes,"Tree-planting, Shared Content",3,4,2,3,Strong visuals,None
Lead City University (LCU),Applied Sciences,Male,21–25,200 Level,Yes,Daily,Images/Posters,3,4,5,5,Yes,Facebook,WhatsApp,I only view/read,4,1,5,2,No,None,5,4,3,4,Emotional storytelling,More videos
"Federal College of Agriculture, Ibadan",Agriculture,Male,21–25,400 Level,Yes,Rarely,Campaign Flyers,3,2,3,3,No,TikTok,Instagram,Like only,4,3,3,5,Yes,"Tree-planting, Shared Content",3,4,3,2,Simplicity and clarity,Collaborate with schools
University of Ibadan (UI),Social Sciences,Male,Above 30,100 Level,No,Not Applicable,None,3,3,3,3,No,"Instagram, WhatsApp",WhatsApp,Like only,4,3,4,4,Yes,Donation,4,4,3,2,Simplicity and clarity,None
University of Ibadan (UI),Renewable Natural Resources,Male,16–20,100 Level,Yes,Rarely,Infographics,5,5,2,3,Yes,"WhatsApp, Facebook",Instagram,Participate in Challenges/Campaigns,4,2,4,3,No,None,2,5,2,1,Strong visuals,None
"Federal College of Agriculture, Ibadan",Agriculture,Male,16–20,500 Level / Postgraduate,Yes,Rarely,Videos/Documentaries,2,5,3,2,No,"WhatsApp, Facebook",Instagram,Like & Comment,5,5,5,3,No,None,3,4,2,2,Real-life statistics,None
"The Polytechnic, Ibadan",Science,Female,21–25,500 Level / Postgraduate,Yes,Rarely,Images/Posters,3,3,4,3,Yes,Facebook,WhatsApp,I only view/read,5,5,3,4,No,None,3,4,2,2,Strong visuals,None
University of Ibadan (UI),Social Sciences,Female,26–30,200 Level,Yes,Daily,Images/Posters,4,5,3,4,Not sure,Instagram,Instagram,I only view/read,3,4,4,5,No,None,5,5,5,4,Strong visuals,Good job
